cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season,class
1372,2,2,10,3.807466754,1545,11,1.804272709,1
1461,2,2,10,3.807466754,1557,11,1.804272709,1
1371,2,2,10,3.612496295,1566,11,1.804272709,1
1261,6,2,10,3.78757181,1566,11,1.804272709,1
1305,6,2,10,3.711971019,1464,11,0.943194554,1
1337,6,2,10,3.775634843,1520,11,0.943194554,1
1300,2,2,10,3.835319677,1563,11,1.804272709,1
1354,6,2,10,3.676160118,1532,11,0.888450288,1
1222,6,2,10,3.771655854,1476,11,0.943194554,1
1085,6,2,10,3.775634843,1581,11,0.888450288,1
1214,6,2,10,3.696055063,1524,11,1.804272709,1
642,6,2,10,0.286061509,1311,11,0.943194554,1
814,4,2,10,1.189292007,1681,11,0.943194554,1
550,4,2,10,0.548674782,1220,11,0.888450288,1
606,6,2,10,0.254229598,1239,11,0.943194554,1
721,6,2,10,0.950552669,1445,11,0.943194554,1
595,6,2,10,0.604380628,1415,11,0.888450288,1
661,4,2,10,0.437263091,1150,11,0.888450288,1
587,6,2,10,0.59642265,1531,11,0.943194554,1
835,6,2,10,0.90678379,1603,11,0.888450288,1
705,4,2,10,0.083133072,1122,11,0.888450288,1
599,4,2,10,0.576527705,1306,11,0.888450288,1
619,4,2,10,0.389515223,1195,11,0.943194554,1
648,6,2,10,0.727729286,1370,11,0.888450288,1
778,6,2,10,0.811288054,1514,11,0.943194554,1
692,6,2,10,0.652128495,1307,11,0.943194554,1
804,4,2,10,0.870972889,1517,11,0.888450288,1
660,6,2,10,0.98238458,1626,11,0.943194554,1
547,6,2,10,0.520821859,1191,11,0.888450288,1
846,6,2,10,1.173376051,1613,11,0.888450288,1
826,6,2,10,1.050027393,1593,11,0.888450288,1
834,6,2,10,1.014216492,1591,11,0.888450288,1
664,4,2,10,0.719771308,1140,11,0.943194554,1
763,6,2,10,0.819246032,1614,11,0.888450288,1
718,6,2,10,0.719771308,1291,11,0.888450288,1
594,6,2,10,0.743645242,1333,11,0.888450288,1
641,6,2,10,0.747624231,1577,11,0.888450288,1
840,4,2,10,0.962489636,1465,11,0.943194554,1
728,4,2,10,1.165418073,1577,11,0.943194554,1
539,6,2,10,0.787414121,1394,11,0.888450288,1
605,4,2,10,0.914741768,1561,11,0.943194554,1
613,6,2,10,0.660086473,1352,11,0.888450288,1
675,6,2,10,0.608359617,1499,11,0.943194554,1
510,6,2,10,0.409410168,1172,11,0.943194554,1
618,6,2,10,0.71181333,1510,11,0.943194554,1
638,6,2,10,0.652128495,1635,11,0.888450288,1
585,4,2,10,0.676002429,1332,11,0.943194554,1
837,6,2,10,0.668044451,1323,11,0.888450288,1
688,6,2,10,0.847098955,1421,11,0.888450288,1
805,6,2,10,0.210460719,1330,11,0.943194554,1
480,1,3,2,0.422198529,2059,6,0.027372133,0
550,3,3,2,0.154754873,2180,6,0.027372133,0
438,1,3,2,0.290891892,1895,6,0.027372133,0
638,4,3,2,0.079154083,2105,6,0.027372133,0
590,4,3,2,0.170670829,2210,6,0.027372133,0
359,3,3,2,0.911614173,1728,6,0.027372133,0
468,4,3,2,0.585337077,1764,6,0.027372133,0
476,4,3,2,0.235186047,1853,6,0.027372133,0
439,3,3,2,0.231207058,1890,6,0.027372133,0
679,4,3,2,0.127753344,2108,6,0.027372133,0
374,1,3,2,0.251102003,1637,6,0.027372133,0
628,1,3,2,0.191417168,2129,6,0.027372133,0
599,1,3,2,0.3616623,2053,6,0.027372133,0
489,1,3,2,0.513715275,2053,6,0.027372133,0
517,3,3,2,0.422198529,1930,6,0.027372133,0
313,3,3,2,0.780307537,1739,6,0.027372133,0
532,1,3,2,0.305956454,2125,6,0.027372133,0
546,1,3,2,0.10387941,2255,6,0.027372133,0
437,1,3,2,0.756433603,1694,6,0.027372133,0
463,4,3,2,0.386387628,1795,6,0.027372133,0
584,1,3,2,0.294870881,1989,6,0.027372133,0
437,1,3,2,0.219270091,2034,6,0.027372133,0
477,1,3,2,0.477904374,1726,6,0.027372133,0
605,1,3,2,0.079154083,2178,6,0.027372133,0
407,3,3,2,0.565442132,1666,6,0.027372133,0
602,1,3,2,0.080005477,1854,6,0.027372133,0
552,1,3,2,0.263038969,1898,6,0.027372133,0
612,1,3,2,0.000425697,2103,6,0.027372133,0
441,4,3,2,0.374450661,1667,6,0.027372133,0
405,3,3,2,0.083984465,2103,6,0.027372133,0
309,3,3,2,0.422198529,1716,6,0.027372133,0
503,1,3,2,0.569421121,1962,6,0.027372133,0
328,1,3,2,0.72858068,1671,6,0.027372133,0
666,3,3,2,0.203354135,2018,6,0.027372133,0
343,3,3,2,0.899677206,1620,6,0.027372133,0
528,3,3,2,0.174649818,2138,6,0.027372133,0
433,4,3,2,0.525652242,1778,6,0.027372133,0
442,4,3,2,0.290891892,1894,6,0.027372133,0
469,1,3,2,0.915593162,1972,6,0.027372133,0
570,4,3,2,0.115816377,2000,6,0.027372133,0
474,4,3,2,0.374450661,1774,6,0.027372133,0
463,4,3,2,0.525652242,1694,6,0.027372133,0
459,4,3,2,0.072047499,2032,6,0.027372133,0
642,4,3,2,0.218418697,1956,6,0.027372133,0
590,3,3,2,0.44124208,2252,6,0.027372133,0
462,1,3,2,0.641042922,1903,6,0.027372133,0
450,1,3,2,0.45403044,1795,6,0.027372133,0
433,1,3,2,0.465967407,1732,6,0.027372133,0
438,3,3,2,0.123774355,2165,6,0.027372133,0
513,3,3,2,0.306807848,1754,6,0.027372133,0
